사용일자,호선명,역명,승차,하차
20221130,7호선,가산디지털단지,48223,48362
20221130,경부선,가산디지털단지,18149,21734
20221130,2호선,강남,72597,76810
20221130,7호선,강남구청,18011,19990
20221130,2호선,건대입구,34522,36756
20221130,7호선,건대입구,13978,15199
20221130,3호선,고속터미널,41396,38893
20221130,9호선,고속터미널,13114,16651
20221130,7호선,고속터미널,15742,13733
20221130,9호선,국회의사당,18942,18861
20221130,9호선,김포공항,7011,10311
20221130,5호선,김포공항,7544,7079
20221130,3호선,도곡,5394,5578
20221130,1호선,동대문,10602,9877
20221130,2호선,뚝섬,22306,24321
20221130,2호선,사당,39999,42917
20221130,4호선,사당,27977,23698
20221130,1호선,서울역,49894,47287
20221130,신림선,서울지방병무청,2690,2950
20221130,2호선,서초,23879,23319
20221130,분당선,수서,14323,14680
20221130,3호선,수서,18034,18249
20221130,1호선,시청,26897,26371
20221130,2호선,신도림,52744,52091
20221130,경부선,신도림,4139,4428
20221130,경부선,영등포,38504,38963
20221130,5호선,올림픽공원(한국체대),4620,4119
20221130,5호선,왕십리(성동구청),4640,5449
20221130,1호선,청량리(서울시립대입구),18204,18204
20221130,4호선,혜화,36388,35253
20221130,2호선,홍대입구,57812,60375
20221129,7호선,가산디지털단지,49179,48953
20221129,경부선,가산디지털단지,19156,22399
20221129,2호선,강남,83555,80083
20221129,7호선,강남구청,18274,20297
20221129,7호선,건대입구,14104,14566
20221129,2호선,건대입구,35548,37680
20221129,9호선,고속터미널,12977,16783
20221129,7호선,고속터미널,16696,14306
20221129,3호선,고속터미널,42063,40297
20221129,9호선,국회의사당,19098,19433
20221129,5호선,김포공항,7229,6863
20221129,9호선,김포공항,7022,9203
20221129,3호선,도곡,5492,5590
20221129,1호선,동대문,11126,10428
20221129,2호선,뚝섬,22980,24751
20221129,2호선,사당,41212,44688
20221129,4호선,사당,28353,24198
20221129,1호선,서울역,51236,48225
20221129,신림선,서울지방병무청,2667,3043
20221129,2호선,서초,24575,24021
20221129,분당선,수서,14955,15611
20221129,3호선,수서,18674,18995
20221129,1호선,시청,27105,26837
20221129,경부선,신도림,4199,4395
20221129,2호선,신도림,51524,50615
20221129,경부선,영등포,39226,39598
20221129,5호선,올림픽공원(한국체대),4970,4277
20221129,5호선,왕십리(성동구청),4845,5436
20221129,1호선,청량리(서울시립대입구),20401,20060
20221129,4호선,혜화,37607,37026
20221129,2호선,홍대입구,59423,61063
20221128,경부선,가산디지털단지,18767,21838
20221128,7호선,가산디지털단지,48571,47769
20221128,2호선,강남,79398,76476
20221128,7호선,강남구청,17198,18666
20221128,2호선,건대입구,33904,36196
20221128,7호선,건대입구,13643,14409
20221128,7호선,고속터미널,17532,14256
20221128,9호선,고속터미널,13176,17518
20221128,3호선,고속터미널,42534,40796
20221128,9호선,국회의사당,18550,18506
20221128,9호선,김포공항,6997,9163
20221128,5호선,김포공항,7432,6730
20221128,3호선,도곡,5693,5618
20221128,1호선,동대문,10520,10069
20221128,2호선,뚝섬,21705,23110
20221128,4호선,사당,26433,22425
20221128,2호선,사당,38039,41569
20221128,1호선,서울역,52074,49506
20221128,신림선,서울지방병무청,2699,3110
20221128,2호선,서초,23812,22738
20221128,분당선,수서,14816,15262
20221128,3호선,수서,18375,19136
20221128,1호선,시청,25742,25159
20221128,2호선,신도림,49051,48069
20221128,경부선,신도림,3957,4267
20221128,경부선,영등포,37725,38941
20221128,5호선,올림픽공원(한국체대),4750,4078
20221128,5호선,왕십리(성동구청),4622,5140
20221128,1호선,청량리(서울시립대입구),19149,18936
20221128,4호선,혜화,31883,31331
20221128,2호선,홍대입구,54421,56932
20221127,7호선,가산디지털단지,11845,10928
20221127,경부선,가산디지털단지,5293,7270
20221127,2호선,강남,35616,34378
20221127,7호선,강남구청,6195,6907
20221127,2호선,건대입구,28819,29558
20221127,7호선,건대입구,8371,9259
20221127,3호선,고속터미널,49712,46632
20221127,7호선,고속터미널,16639,10304
20221127,9호선,고속터미널,13221,19001
20221127,9호선,국회의사당,8784,8499
20221127,5호선,김포공항,6418,6620
20221127,9호선,김포공항,6909,9411
20221127,3호선,도곡,2218,2460
20221127,1호선,동대문,10078,10531
20221127,2호선,뚝섬,13142,12809
20221127,2호선,사당,25399,27994
20221127,4호선,사당,18647,17193
20221127,1호선,서울역,37098,36697
20221127,신림선,서울지방병무청,1412,1653
20221127,2호선,서초,13519,12440
20221127,3호선,수서,11778,12004
20221127,분당선,수서,9525,9373
20221127,1호선,시청,11330,10527
20221127,2호선,신도림,32152,32542
20221127,경부선,신도림,2611,2861
20221127,경부선,영등포,37886,36160
20221127,5호선,올림픽공원(한국체대),4647,3712
20221127,5호선,왕십리(성동구청),2637,3141
20221127,1호선,청량리(서울시립대입구),13556,14087
20221127,4호선,혜화,27271,28399
20221127,2호선,홍대입구,59512,59305
20221126,7호선,가산디지털단지,16343,14689
20221126,경부선,가산디지털단지,7176,10018
20221126,2호선,강남,62174,62902
20221126,7호선,강남구청,11477,12776
20221126,7호선,건대입구,12768,13397
20221126,2호선,건대입구,37919,41839
20221126,3호선,고속터미널,59108,59698
20221126,9호선,고속터미널,16378,24956
20221126,7호선,고속터미널,18189,13960
20221126,9호선,국회의사당,5942,6198
20221126,5호선,김포공항,7560,7645
20221126,9호선,김포공항,7670,10884
20221126,3호선,도곡,4121,4408
20221126,1호선,동대문,11360,11545
20221126,2호선,뚝섬,17987,17952
20221126,4호선,사당,25591,24092
20221126,2호선,사당,39269,43692
20221126,1호선,서울역,49419,47949
20221126,신림선,서울지방병무청,1903,2114
20221126,2호선,서초,13753,11477
20221126,분당선,수서,12166,12540
20221126,3호선,수서,16312,16005
20221126,1호선,시청,20562,20941
20221126,2호선,신도림,46537,47346
20221126,경부선,신도림,3222,3736
20221126,경부선,영등포,48832,50125
20221126,5호선,올림픽공원(한국체대),5220,4765
20221126,5호선,왕십리(성동구청),3820,4755
20221126,1호선,청량리(서울시립대입구),19422,19926
20221126,4호선,혜화,36992,38371
20221126,2호선,홍대입구,78448,88489
20221125,7호선,가산디지털단지,47795,47535
20221125,경부선,가산디지털단지,19580,22566
20221125,2호선,강남,90988,89390
20221125,7호선,강남구청,18518,20763
20221125,2호선,건대입구,40600,43951
20221125,7호선,건대입구,14434,15446
20221125,9호선,고속터미널,16674,23455
20221125,3호선,고속터미널,54422,56710
20221125,7호선,고속터미널,20901,16255
20221125,9호선,국회의사당,21019,20805
20221125,5호선,김포공항,8030,7583
20221125,9호선,김포공항,8190,11324
20221125,3호선,도곡,5769,5969
20221125,1호선,동대문,11820,10561
20221125,2호선,뚝섬,25075,26784
20221125,2호선,사당,45809,51557
20221125,4호선,사당,31891,28052
20221125,1호선,서울역,61510,59273
20221125,신림선,서울지방병무청,2809,3076
20221125,2호선,서초,24925,23273
20221125,분당선,수서,16628,17483
20221125,3호선,수서,20749,20717
20221125,1호선,시청,28069,28445
20221125,2호선,신도림,55477,54111
