자치구,월,유형,건수
종로구,1,발생건수,69
중구,1,발생건수,74
용산구,1,발생건수,80
성동구,1,발생건수,80
광진구,1,발생건수,72
동대문구,1,발생건수,101
중랑구,1,발생건수,104
성북구,1,발생건수,98
강북구,1,발생건수,100
도봉구,1,발생건수,46
노원구,1,발생건수,86
은평구,1,발생건수,76
서대문구,1,발생건수,88
마포구,1,발생건수,89
양천구,1,발생건수,113
강서구,1,발생건수,107
구로구,1,발생건수,126
금천구,1,발생건수,58
영등포구,1,발생건수,166
동작구,1,발생건수,81
관악구,1,발생건수,117
서초구,1,발생건수,168
강남구,1,발생건수,315
송파구,1,발생건수,198
강동구,1,발생건수,105
종로구,1,사망자수,3
중구,1,사망자수,0
용산구,1,사망자수,1
성동구,1,사망자수,0
광진구,1,사망자수,0
동대문구,1,사망자수,1
중랑구,1,사망자수,0
성북구,1,사망자수,0
강북구,1,사망자수,0
도봉구,1,사망자수,0
노원구,1,사망자수,3
은평구,1,사망자수,0
서대문구,1,사망자수,0
마포구,1,사망자수,0
양천구,1,사망자수,0
강서구,1,사망자수,0
구로구,1,사망자수,2
금천구,1,사망자수,0
영등포구,1,사망자수,1
동작구,1,사망자수,2
관악구,1,사망자수,0
서초구,1,사망자수,1
강남구,1,사망자수,1
송파구,1,사망자수,1
강동구,1,사망자수,1
종로구,1,부상자수,93
중구,1,부상자수,85
용산구,1,부상자수,105
성동구,1,부상자수,105
광진구,1,부상자수,94
동대문구,1,부상자수,138
중랑구,1,부상자수,129
성북구,1,부상자수,121
강북구,1,부상자수,128
도봉구,1,부상자수,57
노원구,1,부상자수,112
은평구,1,부상자수,104
서대문구,1,부상자수,128
마포구,1,부상자수,120
양천구,1,부상자수,141
강서구,1,부상자수,144
구로구,1,부상자수,167
금천구,1,부상자수,81
영등포구,1,부상자수,234
동작구,1,부상자수,109
관악구,1,부상자수,171
서초구,1,부상자수,260
강남구,1,부상자수,433
송파구,1,부상자수,280
강동구,1,부상자수,151
종로구,2,발생건수,54
중구,2,발생건수,68
용산구,2,발생건수,55
성동구,2,발생건수,94
광진구,2,발생건수,64
동대문구,2,발생건수,93
중랑구,2,발생건수,106
성북구,2,발생건수,91
강북구,2,발생건수,87
도봉구,2,발생건수,53
노원구,2,발생건수,113
은평구,2,발생건수,74
서대문구,2,발생건수,68
마포구,2,발생건수,76
양천구,2,발생건수,96
강서구,2,발생건수,92
구로구,2,발생건수,91
금천구,2,발생건수,55
영등포구,2,발생건수,169
동작구,2,발생건수,74
관악구,2,발생건수,97
서초구,2,발생건수,172
강남구,2,발생건수,315
송파구,2,발생건수,168
강동구,2,발생건수,80
종로구,2,사망자수,0
중구,2,사망자수,2
용산구,2,사망자수,0
성동구,2,사망자수,0
